slash_ship,gen_ship,members_no,fandom,rpf_or_fic,gender_combo,race_combo,member_1,member_2,member_3,member_4
Scott McCall x Stiles Stilinski,Scott McCall & Stiles Stilinski,2,Teen Wolf,fictional,M / M,Latin (Multi) / White,Teen Wolf - Scott McCall,Teen Wolf - Stiles Stilinski,None,None
Donatello x Leonardo,Donatello & Leonardo,2,Teenage Mutant Ninja Turtles,fictional,M / M,N.H.,Teenage Mutant Ninja Turtles - Donatello,Teenage Mutant Ninja Turtles - Leonardo,None,None
Donatello x Leonardo x Michelangelo x Raphael,Donatello & Leonardo & Michelangelo & Raphael,4,Teenage Mutant Ninja Turtles,fictional,M / M,N.H.,Teenage Mutant Ninja Turtles - Donatello,Teenage Mutant Ninja Turtles - Leonardo,Teenage Mutant Ninja Turtles - Michelangelo,Teenage Mutant Ninja Turtles - Raphael
Alicia Clark x Elyza Lex,Alicia Clark & Elyza Lex,2,The 100,fictional,F / F,White,The 100 - Alicia Clark,The 100 - Elyza Lex,None,None
Anya x Raven Reyes,Anya & Raven Reyes,2,The 100,fictional,F / F,S Asian (Multi) / Latin (Multi),The 100 - Anya,The 100 - Raven Reyes,None,None
Bellamy Blake x Clarke Griffin,Bellamy Blake & Clarke Griffin,2,The 100,fictional,M / F,SE Asian (Multi) / White,The 100 - Bellamy Blake,The 100 - Clarke Griffin,None,None
Clarke Griffin x Lexa,Clarke Griffin & Lexa,2,The 100,fictional,F / F,White,The 100 - Clarke Griffin,The 100 - Lexa,None,None
Clarke Griffin x Raven Reyes,Clarke Griffin & Raven Reyes,2,The 100,fictional,F / F,White / Latin (Multi),The 100 - Clarke Griffin,The 100 - Raven Reyes,None,None
Costia x Lexa,Costia & Lexa,2,The 100,fictional,F / F,Unknown / White,The 100 - Costia,The 100 - Lexa,None,None
Lincoln x Octavia Blake,Lincoln & Octavia Blake,2,The 100,fictional,M / F,Black (Multi) / SE Eu,The 100 - Lincoln,The 100 - Octavia Blake,None,None
Octavia Blake x Raven Reyes,Octavia Blake & Raven Reyes,2,The 100,fictional,F / F,SE Eu / Latin (Multi),The 100 - Octavia Blake,The 100 - Raven Reyes,None,None
Penny x Sheldon Cooper,Penny & Sheldon Cooper,2,The Big Bang Theory,fictional,F / M,White,The Big Bang Theory - Penny,The Big Bang Theory - Sheldon Cooper,None,None
Brenda Leigh Johnson x Sharon Raydor,Brenda Leigh Johnson & Sharon Raydor,2,The Closer,fictional,F / F,White,The Closer - Brenda Leigh Johnson,The Closer - Sharon Raydor,None,None
Andrea Sachs x Miranda Priestly,Andrea Sachs & Miranda Priestly,2,The Devil Wears Prada,fictional,F / F,White,The Devil Wears Prada - Andrea Sachs,The Devil Wears Prada - Miranda Priestly,None,None
Alicia Florrick x Kalinda Sharma,Alicia Florrick & Kalinda Sharma,2,The Good Wife,fictional,F / F,White / S Asian,The Good Wife - Alicia Florrick,The Good Wife - Kalinda Sharma,None,None
Dani Clayton x Jamie Taylor,Dani Clayton & Jamie Taylor,2,The Haunting of Bly Manor,fictional,F / F,White,The Haunting of Bly Manor - Dani Clayton,The Haunting of Bly Manor - Jamie Taylor,None,None
Dina x Ellie,Dina & Ellie,2,The Last of Us,fictional,F / F,White,The Last of Us - Dina,The Last of Us - Ellie,None,None
Ellie x Joel,Ellie & Joel,2,The Last of Us,fictional,F / M,White / Ambig,The Last of Us - Ellie,The Last of Us - Joel,None,None
Gideon Nav x Harrowhark Nonagesimus,Gideon Nav & Harrowhark Nonagesimus,2,The Locked Tomb / Gideon the Ninth,fictional,F / F,Māori Ind (Multi),The Locked Tomb / Gideon the Ninth - Gideon Nav,The Locked Tomb / Gideon the Ninth - Harrowhark Nonagesimus,None,None
Jonathan 'Jon' Sims | The Archivist x Martin Blackwood,Jonathan 'Jon' Sims | The Archivist & Martin Blackwood,2,The Magnus Archives,fictional,M / M,Ambig,The Magnus Archives - Jonathan 'Jon' Sims | The Archivist,The Magnus Archives - Martin Blackwood,None,None
Illya Kuryakin x Napoleon Solo,Illya Kuryakin & Napoleon Solo,2,The Man From U.N.C.L.E.,fictional,M / M,White,The Man From U.N.C.L.E. - Illya Kuryakin,The Man From U.N.C.L.E. - Napoleon Solo,None,None
Andromache 'Andy' of Scythia x Quỳnh/Noriko,Andromache 'Andy' of Scythia & Quỳnh/Noriko,2,The Old Guard,fictional,F / F,White / SE Asian,The Old Guard - Andromache 'Andy' of Scythia,The Old Guard - Quỳnh/Noriko,None,None
Nicolò 'Nicky' di Genova x Yusuf 'Joe' Al-Kaysani,Nicolò 'Nicky' di Genova & Yusuf 'Joe' Al-Kaysani,2,The Old Guard,fictional,M / M,White / MENA,The Old Guard - Nicolò 'Nicky' di Genova,The Old Guard - Yusuf 'Joe' Al-Kaysani,None,None
Amity Blight x Luz Noceda,Amity Blight & Luz Noceda,2,The Owl House,fictional,F / F,White / Af Lat,The Owl House - Amity Blight,The Owl House - Luz Noceda,None,None
Eda Clawthorne x Raine Whispers,Eda Clawthorne & Raine Whispers,2,The Owl House,fictional,F / Other,White / Ambig,The Owl House - Eda Clawthorne,The Owl House - Raine Whispers,None,None
Hunter | The Golden Guard x Willow Park,Hunter | The Golden Guard & Willow Park,2,The Owl House,fictional,M / F,White / E Asian,The Owl House - Hunter | The Golden Guard,The Owl House - Willow Park,None,None
Ray Doyle x William Bodie,Ray Doyle & William Bodie,2,The Professionals,fictional,M / M,White,The Professionals - Ray Doyle,The Professionals - William Bodie,None,None
Lucy Chen x Tim Bradford,Lucy Chen & Tim Bradford,2,The Rookie,fictional,F / M,E Asian (Multi) / White,The Rookie - Lucy Chen,The Rookie - Tim Bradford,None,None
Dream of the Endless x Hob Gadling,Dream of the Endless & Hob Gadling,2,The Sandman,fictional,M | Other / M,White,The Sandman - Dream of the Endless,The Sandman - Hob Gadling,None,None
Blair Sandburg x Jim Ellison,Blair Sandburg & Jim Ellison,2,The Sentinel,fictional,M / M,White,The Sentinel - Blair Sandburg,The Sentinel - Jim Ellison,None,None
Daryl Dixon x Rick Grimes,Daryl Dixon & Rick Grimes,2,The Walking Dead,fictional,M / M,White,The Walking Dead - Daryl Dixon,The Walking Dead - Rick Grimes,None,None
Shelby Goodkind x Toni Shalifoe,Shelby Goodkind & Toni Shalifoe,2,The Wilds,fictional,F / F,White / Māori Ind,The Wilds - Shelby Goodkind,The Wilds - Toni Shalifoe,None,None
Geralt of Rivia | The Witcher x Jaskier | Dandelion,Geralt of Rivia | The Witcher & Jaskier | Dandelion,2,The Witcher | Wiedźmin,fictional,M / M,White,The Witcher | Wiedźmin - Geralt of Rivia | The Witcher,The Witcher | Wiedźmin - Jaskier | Dandelion,None,None
Dana Scully x Fox Mulder,Dana Scully & Fox Mulder,2,The X-Files,fictional,F / M,White,The X-Files - Dana Scully,The X-Files - Fox Mulder,None,None
Nagachika Hideyoshi x Sasaki Haise,Nagachika Hideyoshi & Sasaki Haise,2,Tokyo Ghoul | 東京喰種,fictional,M / M,E Asian,Tokyo Ghoul | 東京喰種 - Nagachika Hideyoshi,Tokyo Ghoul | 東京喰種 - Sasaki Haise,None,None
Hanagaki 'Takemitchy' Takemichi x Sano 'Mikey' Manjirou,Hanagaki 'Takemitchy' Takemichi & Sano 'Mikey' Manjirou,2,Tokyo Revengers | 東京卍リベンジャーズ,fictional,M / M,E Asian,Tokyo Revengers | 東京卍リベンジャーズ - Hanagaki 'Takemitchy' Takemichi,Tokyo Revengers | 東京卍リベンジャーズ - Sano 'Mikey' Manjirou,None,None
Bradley 'Rooster' Bradshaw x Jake 'Hangman' Seresin,Bradley 'Rooster' Bradshaw & Jake 'Hangman' Seresin,2,Top Gun,fictional,M / M,White,Top Gun - Bradley 'Rooster' Bradshaw,Top Gun - Jake 'Hangman' Seresin,None,None
Pete 'Maverick' Mitchell x Tom 'Iceman' Kazansky,Pete 'Maverick' Mitchell & Tom 'Iceman' Kazansky,2,Top Gun,fictional,M / M,White,Top Gun - Pete 'Maverick' Mitchell,Top Gun - Tom 'Iceman' Kazansky,None,None
Ianto Jones x Jack Harkness,Ianto Jones & Jack Harkness,2,Torchwood,fictional,M / M,White,Torchwood - Ianto Jones,Torchwood - Jack Harkness,None,None
Nicholas D. Wolfwood x Vash the Stampede,Nicholas D. Wolfwood & Vash the Stampede,2,Trigun Universe | トライガン,fictional,M / M,Ambig,Trigun Universe | トライガン - Nicholas D. Wolfwood,Trigun Universe | トライガン - Vash the Stampede,None,None
Josh Dun x Tyler Joseph,Josh Dun & Tyler Joseph,2,Twenty One Pilots,RPF,M / M,White / White (Multi),Twenty One Pilots - Josh Dun,Twenty One Pilots - Tyler Joseph,None,None
Bella Swan x Edward Cullen,Bella Swan & Edward Cullen,2,Twilight,fictional,F / M,White,Twilight - Bella Swan,Twilight - Edward Cullen,None,None
Alphys x Undyne,Alphys & Undyne,2,Undertale,fictional,F / F,N.H.,Undertale - Alphys,Undertale - Undyne,None,None
Sans x Y/N | Reader,Sans & Y/N | Reader,2,Undertale,fictional,M / Ambig,Ambig,Undertale - Sans,Undertale - Y/N | Reader,None,None
Hope Mikaelson x Josie Saltzman,Hope Mikaelson & Josie Saltzman,2,Vampire Diaries Universe,fictional,F / F,White,Vampire Diaries Universe - Hope Mikaelson,Vampire Diaries Universe - Josie Saltzman,None,None
Josie Saltzman x Penelope Park,Josie Saltzman & Penelope Park,2,Vampire Diaries Universe,fictional,F / F,White / SE Asian (Multi),Vampire Diaries Universe - Josie Saltzman,Vampire Diaries Universe - Penelope Park,None,None
Jade West x Tori Vega,Jade West & Tori Vega,2,Victorious,fictional,F / F,White / Latin (Multi),Victorious - Jade West,Victorious - Tori Vega,None,None
Adam x Shiro,Adam & Shiro,2,Voltron,fictional,M / M,Ambig / E Asian,Voltron - Adam,Voltron - Shiro,None,None
Allura x Shiro,Allura & Shiro,2,Voltron,fictional,F / M,Ambig / E Asian,Voltron - Allura,Voltron - Shiro,None,None
Keith x Lance,Keith & Lance,2,Voltron,fictional,M / M,Ambig / Latin,Voltron - Keith,Voltron - Lance,None,None
Keith x Shiro,Keith & Shiro,2,Voltron,fictional,M / M,Ambig / E Asian,Voltron - Keith,Voltron - Shiro,None,None
Lance x Shiro,Lance & Shiro,2,Voltron,fictional,M / M,Latin / E Asian,Voltron - Lance,Voltron - Shiro,None,None
Helena 'H. G.' Wells x Myka Bering,Helena 'H. G.' Wells & Myka Bering,2,Warehouse 13,fictional,F / F,White,Warehouse 13 - Helena 'H. G.' Wells,Warehouse 13 - Myka Bering,None,None
Ava Silva x Sister Beatrice,Ava Silva & Sister Beatrice,2,Warrior Nun,fictional,F / F,Latin / E Asian (Multi),Warrior Nun - Ava Silva,Warrior Nun - Sister Beatrice,None,None
Carlos x Cecil Palmer,Carlos & Cecil Palmer,2,Welcome to Night Vale,fictional,M / M,Latin / Ambig,Welcome to Night Vale - Carlos,Welcome to Night Vale - Cecil Palmer,None,None
Erica Davidson x Franky Doyle,Erica Davidson & Franky Doyle,2,Wentworth,fictional,F / F,White / Latin,Wentworth - Erica Davidson,Wentworth - Franky Doyle,None,None
`Elizabeth Burke, née Mitchell x Neal Caffrey x Peter Burke`,`Elizabeth Burke, née Mitchell & Neal Caffrey & Peter Burke`,3,White Collar,fictional,F / M / M,White (Multi) / White / White,`White Collar - Elizabeth Burke, née Mitchell`,White Collar - Neal Caffrey,White Collar - Peter Burke,None
Neal Caffrey x Peter Burke,Neal Caffrey & Peter Burke,2,White Collar,fictional,M / M,White,White Collar - Neal Caffrey,White Collar - Peter Burke,None,None
Alex Morgan x Tobin Heath,Alex Morgan & Tobin Heath,2,Women's Soccer,RPF,F / F,White,Women's Soccer - Alex Morgan,Women's Soccer - Tobin Heath,None,None
Ali Krieger x Ashlyn Harris,Ali Krieger & Ashlyn Harris,2,Women's Soccer,RPF,F / F,White,Women's Soccer - Ali Krieger,Women's Soccer - Ashlyn Harris,None,None
Christen Press x Tobin Heath,Christen Press & Tobin Heath,2,Women's Soccer,RPF,F / F,Black (Multi) / White,Women's Soccer - Christen Press,Women's Soccer - Tobin Heath,None,None
Hope Solo x Kelley O'Hara,Hope Solo & Kelley O'Hara,2,Women's Soccer,RPF,F / F,White,Women's Soccer - Hope Solo,Women's Soccer - Kelley O'Hara,None,None
Wen Kexing x Zhou Zishu,Wen Kexing & Zhou Zishu,2,Word of Honor | 山河令,fictional,M / M,E Asian,Word of Honor | 山河令 - Wen Kexing,Word of Honor | 山河令 - Zhou Zishu,None,None
Nicole Haught x Waverly Earp,Nicole Haught & Waverly Earp,2,Wynonna Earp,fictional,F / F,White,Wynonna Earp - Nicole Haught,Wynonna Earp - Waverly Earp,None,None
Gabrielle x Xena,Gabrielle & Xena,2,Xena,fictional,F / F,White,Xena - Gabrielle,Xena - Xena,None,None
Simon Eriksson x Wilhelm,Simon Eriksson & Wilhelm,2,Young Royals,fictional,M / M,Latin (Multi) / White,Young Royals - Simon Eriksson,Young Royals - Wilhelm,None,None
Alexander | Technoblade x Clay | Dream,Alexander | Technoblade & Clay | Dream,2,Youtube,RPF,M / M,White,Youtube - Alexander | Technoblade,Youtube - Clay | Dream,None,None
Alexander | Technoblade x Phil Watson | Philza,Alexander | Technoblade & Phil Watson | Philza,2,Youtube,RPF,M / M,White,Youtube - Alexander | Technoblade,Youtube - Phil Watson | Philza,None,None
Alexander | Technoblade x Phil Watson | Philza x Thomas Michael Simons | TommyInnit x William Patrick Spencer Gold | Wilbur Soot,Alexander | Technoblade & Phil Watson | Philza & Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,4,Youtube,RPF,M / M,White,Youtube - Alexander | Technoblade,Youtube - Phil Watson | Philza,Youtube - Thomas Michael Simons | TommyInnit,Youtube - William Patrick Spencer Gold | Wilbur Soot
Alexander | Technoblade x Thomas Michael Simons | TommyInnit,Alexander | Technoblade & Thomas Michael Simons | TommyInnit,2,Youtube,RPF,M / M,White,Youtube - Alexander | Technoblade,Youtube - Thomas Michael Simons | TommyInnit,None,None
Alexander | Technoblade x William Patrick Spencer Gold | Wilbur Soot,Alexander | Technoblade & William Patrick Spencer Gold | Wilbur Soot,2,Youtube,RPF,M / M,White,Youtube - Alexander | Technoblade,Youtube - William Patrick Spencer Gold | Wilbur Soot,None,None
Alexis 'Alex' Maldonado | Quackity x Karl Jacobs x Nicholas Armstrong | Sapnap,Alexis 'Alex' Maldonado | Quackity & Karl Jacobs & Nicholas Armstrong | Sapnap,3,Youtube,RPF,M / M,Latin / White / White,Youtube - Alexis 'Alex' Maldonado | Quackity,Youtube - Karl Jacobs,Youtube - Nicholas Armstrong | Sapnap,None
Charles | Grian x Ryan | GoodTimesWithScar,Charles | Grian & Ryan | GoodTimesWithScar,2,Youtube,RPF,M / M,White,Youtube - Charles | Grian,Youtube - Ryan | GoodTimesWithScar,None,None
Clay | Dream x George Davidson | GeorgeNotFound,Clay | Dream & George Davidson | GeorgeNotFound,2,Youtube,RPF,M / M,White,Youtube - Clay | Dream,Youtube - George Davidson | GeorgeNotFound,None,None
Clay | Dream x George Davidson | GeorgeNotFound x Nicholas Armstrong | Sapnap,Clay | Dream & George Davidson | GeorgeNotFound & Nicholas Armstrong | Sapnap,3,Youtube,RPF,M / M,White,Youtube - Clay | Dream,Youtube - George Davidson | GeorgeNotFound,Youtube - Nicholas Armstrong | Sapnap,None
Clay | Dream x Nicholas Armstrong | Sapnap,Clay | Dream & Nicholas Armstrong | Sapnap,2,Youtube,RPF,M / M,White,Youtube - Clay | Dream,Youtube - Nicholas Armstrong | Sapnap,None,None
Clay | Dream x Thomas Michael Simons | TommyInnit,Clay | Dream & Thomas Michael Simons | TommyInnit,2,Youtube,RPF,M / M,White,Youtube - Clay | Dream,Youtube - Thomas Michael Simons | TommyInnit,None,None
Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Dan Howell | danisnotonfire & Phil Lester | AmazingPhil,2,Youtube,RPF,M / M,White,Youtube - Dan Howell | danisnotonfire,Youtube - Phil Lester | AmazingPhil,None,None
Darryl Noveschosch | BadBoyHalo x Zak Ahmed | Skeppy,Darryl Noveschosch | BadBoyHalo & Zak Ahmed | Skeppy,2,Youtube,RPF,M / M,White / MENA,Youtube - Darryl Noveschosch | BadBoyHalo,Youtube - Zak Ahmed | Skeppy,None,None
Gavin Free x Michael Jones,Gavin Free & Michael Jones,2,Youtube,RPF,M / M,White,Youtube - Gavin Free,Youtube - Michael Jones,None,None
Karl Jacobs x Nicholas Armstrong | Sapnap,Karl Jacobs & Nicholas Armstrong | Sapnap,2,Youtube,RPF,M / M,White,Youtube - Karl Jacobs,Youtube - Nicholas Armstrong | Sapnap,None,None
`Kristin Watson, née Rosales x Phil Watson | Philza`,`Kristin Watson, née Rosales & Phil Watson | Philza`,2,Youtube,RPF,F / M,Latin / White,`Youtube - Kristin Watson, née Rosales`,Youtube - Phil Watson | Philza,None,None
Mark Fischbach | Markiplier x Sean McLoughlin | Jacksepticeye,Mark Fischbach | Markiplier & Sean McLoughlin | Jacksepticeye,2,Youtube,RPF,M / M,E Asian (Multi) / White,Youtube - Mark Fischbach | Markiplier,Youtube - Sean McLoughlin | Jacksepticeye,None,None
Phil Watson | Philza x Thomas Michael Simons | TommyInnit,Phil Watson | Philza & Thomas Michael Simons | TommyInnit,2,Youtube,RPF,M / M,White,Youtube - Phil Watson | Philza,Youtube - Thomas Michael Simons | TommyInnit,None,None
Phil Watson | Philza x William Patrick Spencer Gold | Wilbur Soot,Phil Watson | Philza & William Patrick Spencer Gold | Wilbur Soot,2,Youtube,RPF,M / M,White,Youtube - Phil Watson | Philza,Youtube - William Patrick Spencer Gold | Wilbur Soot,None,None
Ranboo x Thomas Michael Simons | TommyInnit,Ranboo & Thomas Michael Simons | TommyInnit,2,Youtube,RPF,M | Other / M,White,Youtube - Ranboo,Youtube - Thomas Michael Simons | TommyInnit,None,None
Ranboo x Thomas Michael Simons | TommyInnit x Toby Smith | Tubbo,Ranboo & Thomas Michael Simons | TommyInnit & Toby Smith | Tubbo,3,Youtube,RPF,M | Other / M / M,White,Youtube - Ranboo,Youtube - Thomas Michael Simons | TommyInnit,Youtube - Toby Smith | Tubbo,None
Ranboo x Toby Smith | Tubbo,Ranboo & Toby Smith | Tubbo,2,Youtube,RPF,M | Other / M,White,Youtube - Ranboo,Youtube - Toby Smith | Tubbo,None,None
Thomas Michael Simons | TommyInnit x Toby Smith | Tubbo,Thomas Michael Simons | TommyInnit & Toby Smith | Tubbo,2,Youtube,RPF,M / M,White,Youtube - Thomas Michael Simons | TommyInnit,Youtube - Toby Smith | Tubbo,None,None
Thomas Michael Simons | TommyInnit x William Patrick Spencer Gold | Wilbur Soot,Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,2,Youtube,RPF,M / M,White,Youtube - Thomas Michael Simons | TommyInnit,Youtube - William Patrick Spencer Gold | Wilbur Soot,None,None
Katsuki Yuuri x Victor Nikiforov,Katsuki Yuuri & Victor Nikiforov,2,Yuri!!! on ICE | ユーリ!!! on ICE,fictional,M / M,E Asian / White,Yuri!!! on ICE | ユーリ!!! on ICE - Katsuki Yuuri,Yuri!!! on ICE | ユーリ!!! on ICE - Victor Nikiforov,None,None
Mila Babicheva x Sara Crispino,Mila Babicheva & Sara Crispino,2,Yuri!!! on ICE | ユーリ!!! on ICE,fictional,F / F,White / Latin,Yuri!!! on ICE | ユーリ!!! on ICE - Mila Babicheva,Yuri!!! on ICE | ユーリ!!! on ICE - Sara Crispino,None,None
Otabek Altin x Yuri Plisetsky,Otabek Altin & Yuri Plisetsky,2,Yuri!!! on ICE | ユーリ!!! on ICE,fictional,M / M,Central As / White,Yuri!!! on ICE | ユーリ!!! on ICE - Otabek Altin,Yuri!!! on ICE | ユーリ!!! on ICE - Yuri Plisetsky,None,None
